id,zh,ru,repair,reson
《村民迁移事宜》《小沛市场商人管理》《农田种植指南》《府邸蜡烛采购清单》……,《关于村民迁移的文件》《小沛市场商人群体维护》《农民种地指南》《府邸蜡烛采购费用清单》...,"«Документы о переселении крестьян», «Поддержка торговцев на рынке Сяопэй», «Руководство по сельскому хозяйству для фермеров», «Список расходов на закупку свечей для дворец»... ",,
这文书也太多了，难道是想让我鞠躬尽瘁，累死在这上面？,这文书也太多了，难道是想让我鞠躬尽瘁，累死在这上面？,"Слишком много документов — неужели они хотят, чтобы я умер от усталости над ними? ",,
不不不，刘将军，您误会了！这些文书只是日常政务所需，我们绝无意让您这样的大人物耗费心力于此。,不不不，刘将军，您误会了！这些文书只是日常政务所需，我们绝无意让您这样的大人物耗费心力于此。,"Нет-нет, генерал Лю, вы неправильно поняли. Эти документы — это просто результат обычной работы правительства. Конечно, мы не хотим, чтобы такая великая персона, как вы, тратила на это свою энергию. ",,
这些琐事惯由我们幕僚整理，提取核心内容。大人只需定夺大事即可。,这些琐事惯由我们幕僚整理，提取核心内容。大人只需定夺大事即可。,"Эти рутинные задачи выполняем мы, ваши советники. Мы извлекаем основное содержание из документов... Вам нужно принимать только ключевые решения. ",,
请点击“执行政策”按钮，进入施政面板。,请点击“执行政策”按钮，进入施政面板。,"Пожалуйста, нажмите кнопку «Выполнить политику», чтобы войти в панель управления. ",,
大人，这是幕僚们从文书中提炼出的上、中、下三策。最近士族举报丹阳官兵欺压领地农民的利益，咱们得设法处理。,大人，这是幕僚们从文书中提炼出的上、中、下三策。最近士族举报丹阳官兵欺压领地农民的利益，咱们得设法处理。,"Господин, вот три плана: высший, средний и низший, составленные советниками после изучения документов. Недавно знать сообщила, что даньянские солдаты угнетают крестьян на своих территориях. Нам нужно найти способ решить эту проблему. ",,
嗯，做得不错。,嗯，做得不错。,"Хм, хорошо сделано. ",,
对了，主簿，你觉得士族反馈的消息可信吗？,对了，主簿，你觉得士族反馈的消息可信吗？,"Кстати, главный писарь, как ты думаешь, информация от знати достоверна? ",,
大人，这话不好由我断言。双方确有矛盾冲突，不排除一方借机打压另一方的可能。,大人，这话不好由我断言。双方确有矛盾冲突，不排除一方借机打压另一方的可能。,"Господин, это не мне судить. Между двумя сторонами действительно существуют конфликты, и нельзя исключать возможность того, что одна сторона давит на другую. ",,
大人，这个决策是否有些过于激进了？,大人，这个决策是否有些过于激进了？,"Господин, разве это решение не слишком радикальное? ",,
啊……会吗？,啊..会么？,А... Неужели?,,
在下以为，若选了此策，恐第二日丹阳兵便会生乱。,在下以为，若选了此策，恐第二日丹阳兵便会生乱。,"Моя мысль такова: если выбрать эту стратегию, на следующий день даньянские солдаты восстанут.",,
那我得重新斟酌一下决断了。,那我得重新斟酌一下决断了。,Тогда мне нужно принять новое решение.,,
将军，我们会按照您的决策进行行事的,将军，我们会按照您的决策进行行事的,"Генерал, мы будем действовать в соответствии с вашим решением. ",,
嗯？为何如此？我不是这城的刺史吗？为何还要征询他们的意见？,嗯？为何如此？我不是这城的刺史吗？为何还要征询他们的意见？,"Хм, почему« Разве я не губернатор этого города» Почему мне нужно собирать их мнения? ",,
哦，将军，您自然是刺史无疑。只是这些大人物掌控着城中的核心资源，许多事离不开他们的配合。若他们对您心生不满，表面不敢违抗，可背地里出工不出力却是常事。,哦，将军，您自然是刺史无疑。只是这些大人物掌控着城中的核心资源，许多事离不开他们的配合。若他们对您心生不满，表面不敢违抗，可背地里出工不出力却是常事。,"О, генерал, вы, конечно, являетесь губернатором этого города. Однако эти влиятельные люди контролируют ключевые ресурсы города, и многие дела требуют их сотрудничества. Если они будут недовольны вами, они могут не осмеливаться открыто вам противостоять, но за кулисами они могут делать свою работу спустя рукава — это обычное дело. ",,
为什么？我就不能强令他们积极行事吗？,为什么？我就不能强令他们积极行事吗？,Почему« Разве я не могу заставить их предпринять активные действия»,,
当然可以，大人。只是这种事难以抓到真凭实据，若错判了他们，反倒可能被传出流言，让您失了民心。,当然可以，大人。只是这种事难以抓到真凭实据，若错判了他们，反倒可能被传出流言，让您失了民心。,"Конечно, генерал, вы можете это сделать, но такие дела трудно доказать. Если вы ошибочно обвините их, это может распространиться, и вы потеряете доверие народа. ",,
那就不能调查他们吗？,那就不能调查他们吗？,Разве нельзя провести расследование против них?,,
将军，若您正式调查，他们定会装得“积极”无比，可这只是假象。磨洋工的手法隐秘难查，甚至会事先安排替罪羊暗中捣乱。一旦如此，大人的计划就难以推进了。因此，最好一开始便征询他们的意见，避免这些麻烦。,将军，若您正式调查，他们定会装得“积极”无比，可这只是假象。磨洋工的手法隐秘难查，甚至会事先安排替罪羊暗中捣乱。一旦如此，大人的计划就难以推进了。因此，最好一开始便征询他们的意见，避免这些麻烦。,"Генерал, как только вы начнёте официальное расследование, вы обнаружите, что они все ведут себя очень «активно», но это лишь видимость. Они будут тянуть время так, чтобы вы не заметили, и заранее подготовят козлов отпущения, которые будут мешать за кулисами. Если это произойдёт, вам будет трудно продвинуть свои дела. Поэтому часто необходимо с самого начала собирать их мнения, чтобы избежать подобных ситуаций. ",,
好，我明白了。,好，我明白了。,"Хорошо, я понял. ",,
大人，请选择你想要实施的法律,大人，请选择你想要实施的法律,"Господин, пожалуйста, выберите закон, который вы хотите ввести. ",,
大人，今日公务已毕。听说将军接下来要去校场探望老部下？,大人，今日公务已毕。听说将军接下来要去校场探望老部下？,"Хорошо, господин, работа на сегодня завершена. Я слышал, что в вашем сегодняшнем расписании запланирован визит на тренировочное поле, чтобы навестить ваших старых подчинённых. ",,
是啊，我在外奔波了一周，也该跟弟兄们聚一聚了。,是啊，我在外奔波了一周，也该跟弟兄们聚一聚了。,"Да, я был в отъезде неделю, и теперь пора встретиться с моими подчинёнными. ",,
您说得是，只是还请提防那丹阳派……,您说得是，只是还请提防那丹阳派……,"Вы правы, но будьте осторожны с даньянской фракцией. ",,
丹阳派？他们又惹了什么祸？,丹阳派？他们又惹了什么祸？,Даньянская фракция« Они что-то натворили»,,
这话不便由我细说，但他们欺行霸市已非一日，譬如抢夺百姓的米钱，民怨颇深。,这话不便由我细说，但他们欺行霸市已非一日，譬如抢夺百姓的米钱，民怨颇深。,"Это не мне судить, но они давно терроризируют рынок... Например, отбирают рис и деньги у невинных людей. ",,
大人，您的设宴管用了，您可以前去议事厅，看看法律是否能安稳的通过,大人，您的设宴管用了，您可以前去议事厅，看看法律是否能安稳的通过,"Господин, ваш банкет сработал. Теперь вы можете отправиться в зал совета и посмотреть, удастся ли спокойно принять закон. ",,
我已经召见过手下了,我已经召见过手下了,Я уже созвал своих подчинённых.,,
我今天不该做这个，我应该约见各个派系领袖一起吃个饭,我今天不该做这个，我应该约见各个派系领袖一起吃个饭,Сегодня мне не стоило это делать. Мне следовало организовать встречу за ужином с лидерами различных фракций.,,
(暂时这块没什么需要你做的),(暂时这块没什么需要你做的),"(Пока что здесь нет ничего, что требует вашего внимания.) ",,
(我现在事情还没做完，不能离开这里),(我现在事情还没做完，不能离开这里),"(Я ещё не закончил свои дела, поэтому не могу уйти отсюда.) ",,
设宴,设宴,Устроить банкет,,
召见徐州派,召见徐州派,Созвать Сюйчжоускую фракцию,,
召见丹阳派,召见丹阳派,Созвать Даньянскую фракцию,,
召见士族派,召见士族派,Созвать фракцию знати,,
召见豪族派,召见豪族派,Созвать представителей знатных родов,,
政策拉拢,政策拉拢,Привлечение через политику,,
索取,索取,Требовать,,
(重新选择),(重新选择),（Выбрать снова）,,
将军，我在这里候您多时了,将军，我在这里候您多时了,"Генерал, я жду вас здесь уже долгое время. ",,
这些是当地的名门望族，不过总体来说，可以分为2个阵营,这些是当地的名门望族，不过总体来说，可以分为2个阵营,"Это местные знатные семьи, но в целом их можно разделить на два лагеря. ",,
徐州的本土派和外来派，将军大人可以在屏幕左侧查看具体数据，并在议事说明中查看具体议事规则,徐州的本土派和外来派，将军大人可以在屏幕左侧查看具体数据，并在议事说明中查看具体议事规则,"Местная фракция и фракция пришлых в Сюйчжоу, генерал, вы можете посмотреть конкретные данные на левой стороне экрана и ознакомиться с правилами совета в описании совещания. ",,
本土派是本地的士族、豪族，他们出生在这里，当然因为三户法的影响，他们当不了这里的长官，往往只能由外地人当长官，他们只能被长官任命当这里的二把手,本土派是本地的士族、豪族，他们出生在这里，当然因为三户法的影响，他们当不了这里的长官，往往只能由外地人当长官，他们只能被长官任命当这里的二把手,"Местная фракция состоит из местной знати и аристократии. Они родились здесь, но из-за закона «Трёх семей» они не могут стать главными чиновниками. Как правило, только приезжие могут занимать такие должности, и их могут назначить лишь вторыми лицами. ",,
将军大人的法律需要得到二个派系的承认，当然目前大人的法律 在下看起来并无侵害他们利益之处，我想二个派系都会支持您的,将军大人的法律需要得到二个派系的承认，当然目前大人的法律 在下看起来并无侵害他们利益之处，我想二个派系都会支持您的,"Законы генерала должны быть признаны обеими фракциями. Однако, как мне кажется, ваши законы пока не затрагивают их интересов. Я думаю, обе фракции поддержат вас. ",,
一段富有成效的沟通，议事中针对【{{tr(GameManager.sav.curLawName)}}】立法坦率交换了意见,一段富有成效的沟通，议事中针对【{{tr(GameManager.sav.curLawName)}}】立法坦率交换了意见,Плодотворное обсуждение — на заседании совета мы открыто обменялись мнениями по поводу законодательства 【{{tr(GameManager.sav.curLawName)}}】.,,
(我现在事情还没做完，不能离开这里),(我现在事情还没做完，不能离开这里),"(Я еще не закончил свои дела, поэтому не могу уйти отсюда.) ",,
第一次会议圆满结束了，将军您全票通过了法律,第一次会议圆满结束了，将军您全票通过了法律,"Первое заседание успешно завершилось, генерал. Ваш закон был принят единогласно. ",,
毕竟大家都在将军您的领导下众志成城，法律通过是必然的事情！,毕竟大家都在将军您的领导下众志成城，法律通过是必然的事情！,"Ведь все едины под вашим руководством, генерал, так что принятие закона было неизбежно! ",,
不过人和人之间不总是完全利益一致，有可能未来有些通过不了的法律,不过人和人之间不总是完全利益一致，有可能未来有些通过不了的法律,"Однако интересы людей не всегда совпадают, так что в будущем некоторые законы могут не пройти. ",,
如果支持您的人数不达到一半，就得另外想想办法了...,如果支持您的人数不达到一半，就得另外想想办法了...,"Если число поддерживающих вас людей не достигнет половины, придётся искать другой способ... ",,
比如讨好他们，但这也并不明智，有的时候您讨好1个人，就会得罪10个人,比如讨好他们，但这也并不明智，有的时候您讨好1个人，就会得罪10个人,"Например, вы можете попытаться их задобрить, но это не всегда разумно. Иногда, угождая одному человеку, вы обижаете десятерых. ",,
哈哈哈，我今天失言说太多了，将军您也累了，您可以返回自己的住所休息了,哈哈哈，我今天失言说太多了，将军您也累了，您可以返回自己的住所休息了,"Ха-ха-ха, сегодня я заговорился и сказал слишком много. Генерал, вы, должно быть, устали. Можете вернуться в свою резиденцию и отдохнуть. ",,
曹豹,曹豹,Цао Бао,,
离开此地,离开此地,Уйти,,
操练士兵,训练,Тренировать,,
城门-军事驻地,城门-军事驻地,Внешняя часть города,,
军事商店,军事商店,Военный магазин,,
商店,商店,Магазин,,
议事厅,议事厅,Зал совета,,
自宅,自宅,Дом,,
府邸,府邸,дворец,,
外出,外出,Выйти,,
属性面板,属性面板,Панель атрибутов,,
政府文书,政府文書,Государственные документы,,
执行政策,执行政策,Реализовать политику,,
离开,离开,Уйти,,
召见手下,召见手下,Вызов,,
关羽,关羽,Гуань Юй,,
张飞,张飞,Чжан Фэй,,
赵云,赵云,Чжао Юнь,,
上策-限制军需物资法,上策-限制军需物资法,Верхний план - Закон об ограничении военных поставок,,
中策-军需审批规定,中策-军需审批规定,Средний план - Положение об утверждении военных поставок,,
下策-物资调度违规处罚法,下策-物资调度违规处罚法,Нижний план - Закон о наказании за нарушения в распределении материалов,,
所有军队领袖，严禁擅自动用粮草物资，必须经士族批准后方可动用。一切军需，须经过严格审批备案，不得私自行动。,所有军队领袖，严禁擅自动用粮草物资，必须经士族批准后方可动用。一切军需，须经过严格审批备案，不得私自行动。,Всем военачальникам строго запрещается самостоятельно использовать продовольственные и материальные ресурсы. Их использование возможно только с одобрения знати. Все военные поставки должны проходить строгую процедуру утверждения и регистрации. Самовольные действия не допускаются.,,
军队领袖应向相关报备所需物资，并等待审批后方可调用。一切军需申请，必须经过严格审批程序，禁止私自调度。,军队领袖应向相关报备所需物资，并等待审批后方可调用。一切军需申请，必须经过严格审批程序，禁止私自调度。,"Военачальники должны подавать отчёты о необходимых ресурсах в соответствующие органы и ждать одобрения перед использованием. Все заявки на военные поставки должны проходить строгую процедуру утверждения, и самовольное распределение запрещено. ",,
凡有违反调度规定者，不分情节轻重，一律拉出军营，以极刑示众。对于私自调用粮草者，立即斩首示众，家属一并流放，绝不宽贷。,凡有违反调度规定者，不分情节轻重，一律拉出军营，以极刑示众。对于私自调用粮草者，立即斩首示众，家属一并流放，绝不宽贷。,"Любой, кто нарушит правила распределения ресурсов, независимо от тяжести проступка, будет выведен из лагеря и казнён публично в назидание остальным. За самовольное использование продовольствия и припасов нарушитель будет немедленно обезглавлен на глазах у всех, а его семья сослана без права на помилование. ",,
无风险,无风险,Без риска,,
小风险,小风险,Небольшой риск,,
中风险,中风险,Средний риск,,
高风险,高风险,Высокий риск,,
成功率,成功率,Успех,,
确认信息,确认信息,Подтвердить,,
命令面板,命令面板,Команды ,,
法律法规,法律法规,Законы ,,
确认,确认,Подтвердить,,
"关羽、张飞、无名现在可以被你调用！
(或许将军可以试试练兵功能来快速提升武将等级）","关羽、张飞、无名现在可以被你调用！
(或许将军可以试试练兵功能来快速提升武将等级）","Гуань Юй, Чжан Фэй и Безымянный теперь в вашем распоряжении!(Возможно, генерал, вам стоит попробовать функцию тренировки, чтобы быстро повысить уровень ваших подчинённых?)",,
老兵饭局：,老兵饭局：,Банкет для ветеранов,,
"请选择你的武将进行练兵
（练兵有一定概率提升武将等级）","请选择你的武将进行练兵
（练兵有一定概率提升武将等级）",Выберите своего генерала для тренировки (Тренировка имеет шанс повысить уровень генерала).,,
你的钱不够,你的钱不够,У вас недостаточно монет.,,
你已达到最大等级,你已达到最大等级,Вы достигли максимального уровня.,,
请选择你的出征将领：,请选择你的出征将领：,Выберите подчинённого:,,
士兵人数：,士兵人数：,Солдаты:,,
资金数：,资金数：,Деньги:,,
任务条件：,任务条件：,Цель задания:,,
选择将领进行出征，你可以自由调节士兵数量和资金数量，注意完成右侧任务和猜拳，可以降低伤亡和提高成功率！,选择将领进行出征，你可以自由调节士兵数量和资金数量，注意完成右侧任务和猜拳，可以降低伤亡和提高成功率！,Выберите подчинённого для битвы. Свободно регулируйте число солдат и средств. Выполняйте задачи и играйте в камень-ножницы для уменьшения потерь и повышения успеха!,,
无伤亡,无伤亡,Без потерь,,
低伤亡,低伤亡,Малые потери,,
中伤亡,中伤亡,Средние потери,,
高伤亡,高伤亡,Большие потери,,
(当前战力:{targetValue}),(当前战力:{targetValue}),(Текущая сила: {targetValue}),,
.工程战:,.工程战:,. Осада:,,
.特种战:,.特种战:,. Спецоперации:,,
.游击战:,.游击战:,. Партизанская война:,,
.遭遇战:,.遭遇戰：,.Столкновение:,,
.奇兵任务:,.奇兵任务:,.Задание для спецотряда:,,
.防守战:,.防守战:,. Оборонительное сражение:,,
(兵力小于{targetValue} 但大于{targetValue2}),(兵力小于{targetValue} 但大于{targetValue2}),"(Сила войск меньше {targetValue}, но больше {targetValue2}) ",,
(兵力等于{targetValue}),(兵力等于{targetValue}),(Сила войск равна {targetValue}),,
(兵力超过{targetValue}),(兵力超过{targetValue}),(Сила войск больше {targetValue}),,
(资金小于{targetValue} 但大于{targetValue2}),(资金小于{targetValue} 但大于{targetValue2}),"(Средств меньше {targetValue}, но больше {targetValue2}) ",,
(资金等于{targetValue}),(资金等于{targetValue}),(Средства равны {targetValue}),,
(资金超过{targetValue}),(资金超过{targetValue}),(Средства больше {targetValue}),,
开始议事,开始议事,Начать совет,,
议事说明,议事说明,Объяснение,,
出征,出征,Поход,,
升级,升级,Уровень,,
众人,众人,Все,,
议政人数面板,议政人数面板,Панель участников,,
(括弧内为摇摆人数),(括弧内为摇摆人数),(Колеблется),,
外地派,外地派,Пришлая фракция,,
本土派,本土派,Местная фракция,,
豪族派,豪族派,Торговцев Фракция ,,
议事面板说明:,议事面板说明:,Описание панели совета:,,
"人数：
摇摆人数：
同意人数：
反对人数：
合计同意：
合计反对：
通过率：
结果：","人数：
摇摆人数：
同意人数：
反对人数：
合计同意：
合计反对：
通过率：
结果：","Люди：
Нерешённые：
За：
Против：
Всего за：
Всего против：
Процент успеха：
Результат：
",,
本地派:外来派:豪族派,本地派：外来派：豪族派,Местная:Пришлая:торговцев,,
本地派:外来派,本地派:外来派,Местная:Пришлая(фракция),,
通过,通过,Принято,,
未通过,未通过,Не принято,,
没过多久，刘备也收到了来自徐州的密信,没过多久，刘备也收到了来自徐州的密信,Вскоре Лю Бэй получил секретное письмо из Сюйчжоу.,,
-支持度：,-支持度：,-Поддержка：,,
"这场战斗你输了,","这场战斗你输了,",Ты проиграл этот бой.,,
"这场战斗你赢了,","这场战斗你赢了,","Ты выиграл этот бой,",,
你没有损失,你没有损失,Ты не понес убытков,,
你损失了{soilder}个士兵,你损失了{soilder}个士兵,Ты потерял {soilder} солдат,,
你损失了{coin}金,你损失了{coin}金,Ты потерял {coin} монет.,,
你损失了{coin}金和{soilder}个士兵,你损失了{coin}金和{soilder}个士兵,Ты потерял {coin} монет и {soilder} солдат,,
",获得以下道具:",",获得以下道具:",", Ты получил следующие предметы: ",,
你从郑玄哪里受益良多,你从郑玄那里受益良多,Ты многое получил от Чжэн Сюаня,,
郑玄,郑玄,Чжэн Сюань,,
请点击图书并获得积分,请点击图书并获得积分,Нажмите на книгу и получите очки,,
大儒辩论启动中...,大儒辩论启动中...,Начинается дебаты великих учёных...,,
你的得分：,你的得分：,Твой результат:,,
倒计时:{str},倒计时:{str},Обратный отсчёт: {str},,
大儒辩经已开始,大儒辩经已开始,Дебаты великих учёных начались,,
请点击图书并获得积分,请点击图书并获得积分,Нажмите на книгу и получите очки,,
点击开始游戏,点击开始游戏,"Нажмите, чтобы начать игру",,
与此同时,与此同时,В то же время,,
"1.前往府邸看看堆积的工作
2.前往演武场会见自己的老下属",1.前往府邸看看堆积的工作\n2.前往演武场会见自己的老下属,"1.Отправиться в резиденцию посмотреть на накопившуюся работу\n2.Отправиться на тренировочную площадку встретиться с бывшими подчинёнными
",,
"1.前往府邸回见不同派系的领导人
2.前往议会通过昨天立的法律",1.前往府邸回见不同派系的领导人\n2.前往议会通过昨天立的法律,"1.Отправиться в резиденцию, чтобы встретиться с лидерами разных фракций
2.Отправиться в совет, чтобы утвердить закон, принятый вчера",,
1.前往城外军事驻地，讨伐土匪,1.前往城外军事驻地，讨伐土匪,"1.Отправиться в военный лагерь за городом, чтобы уничтожить бандитов. ",,
1.前往城外及军事驻地，选择拜见大儒郑玄,1.前往城外及军事驻地，选择拜见大儒郑玄,"1.Отправиться за город и в военный лагерь, чтобы выбрать визит к великому учёному Чжэн Сюаню. ",,
为学日益，为道日损,为学日益，为道日损,"Учение приносит ежедневное прибавление, а путь — ежедневное уменьшение. ",,
吾曰三省吾身 为人谋而不忠乎 与朋友交而不信乎 传不习乎,吾曰三省吾身 为人谋而不忠乎 与朋友交而不信乎 传不习乎,"Я трижды в день размышляю о себе: был ли я неверен, работая на других« Был ли я нечестен в дружбе» Пренебрегал ли я повторением изученного? ",,
天行健，君子以自强不息,天行健，君子以自强不息,"Небо движется вперёд, и благородный человек неустанно стремится к совершенствованию. ",,
以德服人者，中心悦而诚服也。,以德服人者，中心悦而诚服也。,"Тот, кто покоряет других добродетелью, вызывает у них искреннюю радость и убеждённую преданность. ",,
水至清则无鱼，人至察则无徒,‌水至清则无鱼，人至察则无徒,"Если вода слишком чиста, рыба не может в ней жить; если человек слишком проницателен, у него не будет последователей. ",,
知己知彼，百战不殆.,知己知彼，百战不殆.,"Знай себя и врага, и сто сражений не приведут к поражению. ",,
大丈夫当马革裹尸还。,大丈夫当马革裹尸还。,"Настоящий мужчина должен вернуться завернутым в лошадиную шкуру, готовым умереть с честью на поле боя. ",,
勿以善小而不为，勿以恶小而为之。,勿以善小而不为，勿以恶小而为之。,"Не пренебрегай малым добром только потому, что оно незначительно, и не совершай малого зла только потому, что оно кажется мелочью. ",,
了解并开始游戏,了解并开始游戏,"Понял, начать игру ",,
当前还需要处理的政务：,当前还需要处理的政务：,"Текущие дела, которые нужно решить: ",,
宴会完美举办成功！,宴会完美举办成功！,Пир был успешно и идеально проведён!,,
_eatMore,"
在您举办的饭局中，各大派系忠诚度都提高了","
На ужине, который вы организовали, лояльность всех крупных фракций повысилась. ",,
糜竺,糜竺,Ми Чжу,,
陈登,陈登,Чэнь Дэн,,
demo结束，感谢试玩,demo结束，感谢试玩,"Демо-версия завершена, спасибо за игру! ",,
鼓励百姓们去开垦没有种植的土地（民心增加）,鼓励百姓们去开垦没有种植的土地（民心增加）,Поощрять людей к освоению необработанных земель (Увеличение народной поддержки),,
增加市集时间，鼓励民间贸易（每日获得钱+30）,增加市集时间，鼓励民间贸易（每日获得钱+30）,"Увеличение времени работы рынка, стимулирование гражданской торговли (Получение +30 монет ежедневно) ",,
增强训练，必须保证士兵有足够的纪律性（每日获得士兵+10）,增强训练，必须保证士兵有足够的纪律性（每日获得士兵+10）,"Усиленная тренировка, обеспечивающая достаточную дисциплину солдат (Получение +10 солдат ежедневно) ",,
旁白,旁白,Голос за кадром,,
"当前无政策可以实施，
请改日再来看吧！","当前无政策可以实施，
请改日再来看吧！","На данный момент нет стратегий для реализации. 
Прошу, возвращайтесь в другой день! ",,
(支持:反对:摇摆),(支持:反对:摇摆),(Поддержка: Против: Нейтрально),,
_current_bill,当前待立法律\n【%s】,Текущий закон на рассмотрении: \n【%s】,,
任务已完成，请返回自宅触发下一阶段剧情,任务已完成，请返回自宅触发下一阶段剧情,"Задание выполнено. Пожалуйста, вернитесь в свою резиденцию, чтобы запустить следующий этап сюжета ",,
任务已完成，请前往府邸触发下一阶段剧情,任务已完成，请前往府邸触发下一阶段剧情,"Задание выполнено. Пожалуйста, отправляйтесь в Особняк, чтобы запустить следующий этап сюжета ",,
任务已完成，请前往议事厅触发下一阶段剧情,任务已完成，请前往议事厅触发下一阶段剧情,"Задание выполнено. Пожалуйста, отправляйтесь в Зал Совета, чтобы запустить следующий этап сюжета ",,
任务已完成，请前往演武场触发下一阶段剧情,任务已完成，请前往演武场触发下一阶段剧情,"Задание выполнено. Пожалуйста, отправляйтесь на Тренировочную Площадку, чтобы запустить следующий этап сюжета ",,
任务已完成，请前往城外和大儒辩经触发下一阶段剧情,任务已完成，请前往城外和大儒辩经触发下一阶段剧情,"Задание выполнено. Пожалуйста, отправляйтесь за город, чтобы обсудить учение с Великим Учёным и запустить следующий этап сюжета ",,
当前【%s】法案已被立项，请先在议事厅通过该法案，才能立项其他法律。,当前【%s】法案已被立项，请先在议事厅通过该法案，才能立项其他法律。,"Законопроект 【%s】 уже внесён на рассмотрение. Пожалуйста, сначала примите этот законопроект в Зале Совета, чтобы вносить другие законы. ",,
点数:%s,点数:%s,Очки: %s,,
正有此意，但这种事情如何让丹阳派不从中使绊子呢？哪怕我们成功了，也不能保证陶谦旧部不反扑,正有此意，但这种事情如何让丹阳派不从中使绊子呢？哪怕我们成功了，也不能保证陶谦旧部不反扑,"Именно это я и имел в виду, но как нам не дать фракции Даньяна вмешиваться? Даже если мы преуспеем, нет гарантии, что старые сторонники Тао Цяня не нанесут ответный удар. ",,
简单，我们借着这个由头，将州治从郯城迁往下邳..换个地盘，这样就能摆脱陶谦旧部的袭扰了..,简单，我们借着这个由头，将州治从郯城迁往下邳..换个地盘，这样就能摆脱陶谦旧部的袭扰了..,"Просто — мы используем это как повод, чтобы перенести столицу штата из Таньчэна в Ся Пи. Сменив место, мы сможем избежать нападок старых сторонников Тао Цяня. ",,
妙，妙啊，哈哈哈,妙，妙啊，哈哈哈,"Отлично, отлично, ха-ха-ха! ",,
看来，我没法拒绝你..不过我有条件，徐州可以接，但需约法三章：不增民赋、不扰农耕，州治移至下邳。,看来，我没法拒绝你..不过我有条件，徐州可以接，但需约法三章：不增民赋、不扰农耕，州治移至下邳。,"Похоже, я не могу вам отказать… Но у меня есть условия: я возьму Сюйчжоу, но мы должны договориться о трёх правилах: не увеличивать налоги для народа, не мешать земледелию, и столица штата должна быть перенесена в Ся Пи. ",,
大人，你的想法和陈登是一样的，他已经秘派广陵士兵处理迁至州治事项了,大人，你的想法和陈登是一样的，他已经秘派广陵士兵处理迁至州治事项了,"Господин, ваше мнение совпадает с мнением Чэнь Дэна — он уже тайно отправил солдат из Гуанлина, чтобы заняться переносом столицы штата. ",,
_stockInExpound,点击图标使用\n快速结束辩经\n（库存：{num}）,"Нажмите на иконку, чтобы использовать\nБыстро завершить дебаты\n(Запас: {num}) ",,
"剩余库存:{num}
(点击消耗精力丸回复体力)","剩余库存:{num}
点击消耗精力丸回复体力)","Остаток в запасе: {num}\n(Нажмите, чтобы использовать Энергетическую пилюлю для восстановления выносливости) ",,
我当前没有足够的精力处理这件事情..,我当前没有足够的精力处理这件事情..,"У меня сейчас недостаточно энергии, чтобы заняться этим делом… ",,
_battleUseItem,勾选使用胜战锦囊\n用于提高胜率40%\n【剩余库存：{_num}】,"Отметьте, чтобы использовать предмет\nУвеличивает шанс победы на 40%\n【Остаток в запасе: {_num}】 ",,
再撑一回,再撑一回,Продержитесь ещё один раунд,,
当前任务：无,当前任务：无,Текущая задача: Отсутствует,,
跟陈群对话,跟陈群对话,Поговорите с Чэнь Цюнем,,
简体中文,简体中文,Упрощённый китайский,,
繁体中文,繁体中文,Традиционный китайский,,
英语,英语,Английский,,
日语,日语,Японский,,
俄语,俄语,Русский,,
鸣谢,鸣谢,Титры,,
灵堂祭礼，未可轻离，选项暂不可开。,灵堂祭礼，未可轻离，选项暂不可开。,"Церемония в зале памяти продолжается, нельзя легко уйти — опции временно недоступны. ",,
设置,设置,Настройки,,
返回到游戏主菜单,返回到游戏主菜单,Вернуться в главное меню,,
分辨率：,分辨率：,Разрешение:,,
是否全屏,是否全屏,Полноэкранный режим,,
音乐音量,音乐音量,Громкость музыки,,
语言系统：,语言系统：,Языковая система:,,
音效音量,音效音量,Громкость звуковых эффектов,,
确认设置,确认设置,Подтвердить настройки,,
成功通过[{{tr(GameManager.sav.curLawName)}}]！{{GameManager.RewardLaw}},成功通过[{{tr(GameManager.sav.curLawName)}}]！{{GameManager.RewardLaw}},Успешно принято [{{tr(GameManager.sav.curLawName)}}]! {{GameManager.RewardLaw}},,
当前功能demo不开放,当前功能demo不开放,Текущая демонстрация функции недоступна.,,
提示,提示,Подсказка,,
设置菜单,设置菜单,Меню настроек,,
商人，这摊子是你？好久不见了。,商人，这摊子是你？好久不见了。,"Торговец, это твой прилавок? Давно не виделись.",,
刺史大人……真是您？小沛一别，我还以为再难相见，没想到您如今掌管徐州！,刺史大人……真是您？小沛一别，我还以为再难相见，没想到您如今掌管徐州！,"Губернатор, неужели это вы? После нашей встречи в Сяо Пэй я думал, что мы больше не увидимся, и представить не мог, что вы теперь управляете Сюйчжоу!",,
世事无常，我也刚到徐州。你的东西不错，还是老价钱？,世事无常，我也刚到徐州。你的东西不错，还是老价钱？,"Мир непредсказуем, я сам только что прибыл в Сюйчжоу. Твои товары хороши — всё ещё по старой цене?",,
大人还记得！自然是老价钱，恭喜大人得掌徐州，小民真是又惊又喜啊！,大人还记得！自然是老价钱，恭喜大人得掌徐州，小民真是又惊又喜啊！,"Господин ещё помнит! Конечно, по старой цене. Поздравляю вас с управлением Сюйчжоу — я просто в восторге и удивлении!",,
哈哈，多谢。愿你在这徐州也生意兴隆！,哈哈，多谢。愿你在这徐州也生意兴隆！,"Ха-ха, спасибо! Желаю, чтобы твой бизнес процветал здесь, в Сюйчжоу!",,
