repair,reason
"Merchant, is this your stall? It's been a long time.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"Governor, is it really you? Since we parted in Xiaopei, I thought we'd never meet again—I never imagined you'd now be in charge of Xuzhou!",标点格式/术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
The ways of the world are unpredictable—I've just arrived in Xuzhou myself. Your goods are nice—are they still at the old price?,标点格式/术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
"My Lord still remembers! Of course, it's the old price. Congratulations on taking charge of Xuzhou—I'm both shocked and delighted!",标点格式/术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
"Haha, thank you! I hope your business thrives here in Xuzhou as well!",标点格式/术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"Merchant, how's your business doing?",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"My Lord, you've come at the right time! Thanks to your blessings, I made a small profit earlier. Now I've saved enough to move to the center of Xuzhou city and try my luck there.",标点格式/术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
Now is not the time to go to those places—I must head to the Manor.,术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
"There are currently no proposed laws. Please first draft a law in the 【Laws】 section at the Manor, then you can deliberate and pass it in the Council Hall.",标点格式/术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"Governor, as you have just taken office, you may not be familiar with the situation in Xuzhou. Here are compiled reports detailing the financial, military, and civil affairs for your review.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"The great clans are hiding their population, making tax collection impossible. Coupled with previous battles against Cao Cao, the treasury is nearly depleted. Though the economy can still hold on, grain reserves are almost exhausted.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"This is a last resort. We informed the troops that the lack of provisions was due to the people's refusal to cooperate with tax collection. This way, their discontent won't be directed at the government, and they'll naturally seek other solutions.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"At the same time, we warn the great clans that by hiding populations and evading taxes, you invite the army's trouble. This will make them more proactive in paying taxes, allowing us to mediate between both sides and ease our financial crisis.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"You're right, but don't worry - Advisor Chen already has a plan. Don't underestimate him just because he's an advisor - he represents the prestigious Chen clan of Xuzhou's scholar-literati clans!",术语冲突/句式过长口型不匹配；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"Moderate Strategy: Maintaining the status quo may not solve anything immediately, but at least it prevents the situation from worsening. Perhaps when the crisis erupts, the solution will present itself naturally—after all, the boat will straighten itself when reaching the bridge.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"My lord, I am but a mere advisor, and many matters are beyond my grasp. Mi Zhu serves as the Chief Clerk, the second-in-command of Xuzhou—he knows the ins and outs of the province. A single word from him is worth ten from me!",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"Chen Deng, your family currently leads the literati class. Is there a way to change this situation without administrative measures? Perhaps by persuading them...",术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
"We cannot change the views of other clans. After all, the leader of the literati clans is merely a representative chosen by others and cannot make decisions for each independent family.",术语冲突/句式过长口型不匹配；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
"No problem when you're the leader of the literati clans, but when trouble comes, you become the scapegoat... If my persuasion doesn't serve their interests, they can always push someone else forward to be this 'leader' of the literati clans.",术语冲突/句式过长口型不匹配；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"Governor, I am willing to gather the merchant guild to raise funds and alleviate the army's food shortage. However, merchants prioritize profit—if their capital suffers losses, they will surely seek compensation. This may trigger price fluctuations in the city and even harm the economy.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"(Watching Mi Zhu leave, pondering to himself) The safety of Xuzhou actually rests in the hands of these merchants. Must I truly rely on their support? Or should I seek other means to prepare for the unexpected?",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"General, you may freely visit any location in the city, be it the council hall, the Drill Ground, or paying a visit to the great scholars...",术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"Danyang Faction Favor increased by 10, Xuzhou Nobles Favor decreased by 10, Xuzhou Public Support decreased by 10, obtained {{getCoin}} coins.",术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
"Under the current selection, support from Xuzhou literati clans increases, Xuzhou Public Support rises, and favor with the Danyang faction decreases. Since no policy was changed, you gain a sum of income.",术语冲突/句式过长口型不匹配；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
"Danyang Faction Favor decreased by 5, Xuzhou people's support increased by 5, obtained 200 Coins.",术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"Below your stamina bar, the tasks you need to complete will appear. Under the current selection, your daily tax income increases, the Favor of the Danyang faction rises, the Favor of the Xuzhou literati clans declines, and the morale of the Xuzhou populace drops.",术语冲突/术语缺失/句式过长口型不匹配；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
"Your policies favor the literati clans, allowing covert investigations to swiftly close in on traitors with remarkable efficiency! The literati clans are grateful for your trust, their loyalty soaring, while the common folk find some comfort in the city's stability, and the treasury sees daily gains. However, the Great Clans grow resentful over perceived unfairness in provisions distribution.",术语冲突/句式过长口型不匹配；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"Your impartial policies have ensured smooth investigations, with both Literati and powerful families working in harmony. The influential families even contributed resources in support! The treasury has greatly increased, and rare items from merchant stalls were also obtained. For now, harmony prevails throughout Xuzhou.",术语冲突/句式过长口型不匹配；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
"Your swift and decisive policies have rooted out spies with an iron fist, yielding substantial short-term gains! However, the excessive severity has displeased the literati clans, Great Clans, and the Danyang faction, stirring unrest among the people. Subsequent treasury revenues have sharply declined, leaving hidden troubles brewing.",术语冲突/句式过长口型不匹配；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"My lord, we initially considered purchasing grain from our allies Yuan Shu or Gongsun Zan, but they are both embroiled in war, and their supply routes could be cut off by Yuan Shao or Cao Cao at any moment. Moreover, they each have their own agendas and may not sincerely assist us.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"It would be better to purchase grain from Yuan Shao instead. His forces are strong, his supplies abundant, and he is on the rise—cooperating with him ensures a secure and reliable grain supply.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"Mi Zhu makes a valid point. Both Yuan Shu and Gongsun Zan have selfish motives and cannot be trusted with such responsibility. Moreover, your mentor was once Yuan Shao's teacher, and Yuan Shao's son now resides in Yuzhou. As the Governor of Yuzhou, if you were to send a letter recommending his son as a ""Flourishing Talent,"" cooperation would proceed more smoothly.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"You all make valid points, but I still need time to consider. Choosing allies is no trivial matter and should not be rushed. Moreover, Gongsun Zan and I were once sworn brothers—leaving him and then betraying him weighs heavily on my conscience.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"My lord, a just cause attracts much support while an unjust one finds little. Yuan Shu and Gongsun Zan have lost their moral standing and will not prevail. Moreover, Gongsun Zan's slaughter of the imperial Liu clan has stripped us of our righteous justification. Abandoning them is a wise choice to preserve our reputation.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"Tao Qian has repeatedly mentioned that this move was merely for purchasing grain, nothing more than diplomatic maneuvering between warlords. It was simply a case of befriending the distant while attacking the near—each party pursuing their own interests.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"Very well, I can accept that explanation. But one final question, Chen Deng - will the literati clans of Xuzhou raise any objections?",术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
"My lord, there is no need to worry. The noble clans value profit and long-term planning. Once the food crisis is resolved and Xuzhou's situation stabilizes, they will naturally offer their support.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"My Lord, traveling with merchant caravans ensures the safety of grain transportation, such as using them as cover. Moreover, guild funds can expedite trade, and through this opportunity, we can also establish closer commercial ties with Yuan Shao's faction.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"Chen Deng, I still have some concerns. Will the literati clans of Xuzhou truly raise no objections to switching allegiances?",术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"Now the literati clans have long lost faith in Yuan Shu and Gongsun Zan. Gongsun Zan's execution of the revered Liu Yu chilled the hearts of the realm, while Yuan Shu's reckless attempt to proclaim himself emperor has sown the seeds of his own downfall. If Xuzhou follows their path, it will be no different from digging its own grave.",术语冲突/句式过长口型不匹配；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"Thanks to your brilliant strategy, our merchant caravan has formed an alliance with Yuan Shao. He expressed great satisfaction, specifically mentioning: ""Imperial Uncle Liu's recommendation of my son Yuan Tan as a Filial and Incorrupt candidate shows sincere goodwill—this kindness I shall remember."" Cao Cao also recalled past affections, praising your magnanimity. The success of this alliance is entirely due to your deep connections between Yuan and Cao's factions.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"They spread rumors of a food shortage in Xuzhou, falsely accusing us of breaking the alliance by only purchasing grain from Yuan Shao without distributing it to the troops and civilians.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"You can leverage merchant guilds and local forces to widely spread positive news and reassure the people. In the current situation, my lord must carefully mediate conflicts and ensure all factions' interests are properly addressed.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"Rumors may spread daily in the city, potentially shaking the loyalty of factions and the people's morale. If discontent arises, my lord may temporarily adjust policies to appease grievances—such as issuing short-term benefits or conciliatory measures.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"My lord speaks wisely, this is but a temporary measure. Once this crisis passes, we can gradually restore normal governance. The key now is to demonstrate your fairness and compassion to win the people's trust.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"My lord, the current situation is indeed intricate. Minister Mi Zhu has considerable experience in handling merchant caravans and guilds, but as the Chief Clerk, he seems overly biased towards merchant interests.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"My lord, Mi Zhu is eager to expose the traitor. Though this matter is serious, acting too hastily may harm the interests of Xuzhou's noble clans. Their support is vital to our cause—we must proceed with caution.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"(The strategy proposed by the literati representatives can be adopted, but currently the Literati and Great Clans of Xuzhou seem to be divided.)",术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
The local faction split into the Literati Faction and the Great Clan Faction.,术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"Gentlemen, there is another matter. Cao Cao has sent a letter suggesting that I personally lead troops to suppress Zang Ba and the other Taishan generals to quell the internal unrest.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"My Lord, the first shipment of 50,000 shi of grain from Yuan Shao has arrived. The remaining shipments of 80,000 and 120,000 shi will follow, totaling 250,000 shi. We can use this grain for disaster relief to alleviate the current food crisis.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"My Lord, to better manage the disaster relief efforts, we need you to personally establish a detailed distribution plan. Please decide how to allocate these food supplies to ensure every measure is properly implemented.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"The Merchant Relief mode will affect the support of Great Clans, the Scholar Relief mode will affect the support of Literati, and the Military Relief mode will affect the support of the Danyang faction.",术语冲突/句式过长口型不匹配；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"Chief Clerk Mi Zhu, the situation in Xuzhou is unstable. We must carefully consider our future path. Yuan Shao dominates the north with formidable power, and his trusted subordinate Cao Cao has repeatedly signaled for us to join the Yuan faction.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"Indeed. Yuan Shao has a solid foundation and commands great respect in Hebei, with whom we have long-standing ties. Submitting to his banner would not only secure Xuzhou but also bring long-term benefits to our clan.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"Although Liu Bei has a benevolent heart, he lacks experience and naturally requires us to make decisions for him, as he currently lacks sufficient resources and strategic vision. In contrast, Yuan Shao possesses formidable strength and can provide us with better support. Cao Cao's recent actions also suggest that Yuan Shao intends to recruit us.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"Indeed, we need our lord of Xuzhou to simply preside over the court and demonstrate benevolence. As for grain routes and military affairs, we shall handle them. However, our lord is of strong and upright character, and may not easily agree to submit to Yuan Shao. We must appeal to the greater cause of Xuzhou and make the stakes clear to him.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"Got it. The current situation can be turned to our advantage. Xuzhou's food shortage worsens daily, and the people are restless, while Yuan Shao can provide a stable food supply through Cao Cao. We can persuade Liu Bei by emphasizing the stakes, making it clear this is for the sake of Xuzhou's people.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"Brilliant! Moreover, we can secretly control the grain and trade routes, gradually making Liu Bei realize Yuan Shao's support is indispensable. Thus, he will have no choice but to comply with our plans.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"This matter is hereby decided. We must plan in secret to ensure everything goes smoothly, and must not let our lord detect our intentions too soon. Cao Cao will continue to relay Yuan Shao's movements to us, ensuring our actions remain coordinated.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"Right, clearing out the Yellow Turban rebels on this road is a perfect opportunity. We can use this to demonstrate our strength and test our lord's intentions. This move will lay crucial groundwork for our next plans.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"Brother Chen Deng, as the second-in-command of Xuzhou, I fully understand the weight of responsibility. With the current food shortage and dire situation, we must not only provide immediate relief to the afflicted but also focus on Xuzhou's economic recovery. I propose allocating resources to favor merchants, reviving commerce to ultimately save Xuzhou.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"Brother Mi Zhu, while what you say is true, the people of Xuzhou are more concerned with fair distribution. We should quickly distribute the relief grain and entrust its management to the noble families. They understand their people better and can ensure each social class receives its due share, thereby stabilizing Public Support.",术语冲突/句式过长口型不匹配；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
"Brother Chen Deng, while your approach may seem fair, it is not actually efficient. Direct relief may lead to wasted grain or it falling into the hands of a few, failing to address economic recovery. Moreover, being overly particular about grain quality during a crisis is rather inappropriate.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"I understand your concerns, but stability is equally important. The noble families control all the common people in their respective regions, as well as the hearts of the people. If we lose the people's support, even efficient grain utilization won't ensure lasting peace. These noble families are mostly educated scholars with noble virtues, capable of distributing food fairly to everyone.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
"Brother Chen Deng, you are too idealistic. The literati clans claim to act for the people, but in truth they are too rigid. Your methods will only end up filling the granaries of noble families. As for merchants, even if they exchange rice for chaff, they trade in greater quantities and can save more lives. Moreover, only economic recovery can solve the problem at its root.",术语冲突/句式过长口型不匹配；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
"This is not a matter of idealism. Xuzhou can no longer afford any more chaos. Direct relief can immediately alleviate the people's suffering and prevent greater unrest. Without the support of us literati clans, do you really think you'll last long in that second-in-command position? If you can't make the right decisions, then we'll find someone who can.",术语冲突/句式过长口型不匹配；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
"So, you've been plotting to overthrow me all along. Ever since Liu Bei took over Xuzhou, my position has been unstable. No doubt you've been stirring up trouble—the literati clans always looked down on my family background. They preach fairness with lofty words, but in truth, they're just pushing me out.",术语冲突/句式过长口型不匹配；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"At this point, everyone must fend for themselves. Each has their own plans. Reality teaches us that idealism doesn't work in these chaotic times. Some exploitation by merchants is inevitable, but in the long run, it will save more lives. As the second-in-command, I must not only consider immediate relief efforts but also focus on Xuzhou's economic recovery.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"Once the food distribution plan is confirmed, it cannot be changed. The support level of each faction will adjust according to your allocated provisions. Please make your decision carefully.",句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
Danyang Faction Favor: [if {{disater_panel.DanYangValue}}>0]increased[/if][if {{disater_panel.DanYangValue}}<0]decreased[/if] by {{disater_panel.DanYangValue}} points,术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
Danyang Faction Favor: Remains unchanged,术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
